index,Copepod,Fish,Eumalacostracan,Jellyfish,Eucarid,Squid,Polychaete,Ctenophore,Peracarid,Goose_barnacle,Species,Colony,Age,Year,Type,Plate,Stage
BLKI-MID-AD-2024-58,2,108930,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-59,69304,46871,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100,NA
BLKI-MID-AD-2024-61,19,130,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-62,8956,8682,0,6,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-63,45755,26029,0,0,17,29,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-64,3802,33678,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-65,0,176,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-66,111,430,0,0,20,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-67,0,604,0,0,0,0,21,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-68,21251,2058,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-69,492,31430,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-7,0,13833,82,0,14025,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99,NA
BLKI-MID-AD-2024-70,23193,4477,0,0,833,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-71,116,2070,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-72,43,1049,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-73,0,29083,0,0,11,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-74,6141,31188,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-75,0,9804,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-76,28734,39164,0,0,11,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-77,43,13870,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-78,10069,11402,0,0,153,0,0,0,827,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-79,3128,3692,0,0,0,0,0,6,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-80,0,26512,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-81,0,46520,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-82,31741,1275,0,0,0,0,6,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-83,14988,21965,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-84,19430,53453,8,0,2289,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-85,79796,2106,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-86,0,13813,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-87,5965,209,0,0,11,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101,NA
BLKI-MID-AD-2024-88,4072,6053,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-89,0,4185,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-90,72,170,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-91,42,1351,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-93,13951,19478,0,0,2,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-94,87184,10990,0,0,0,0,168,0,390,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-95,39,11574,0,0,0,0,2,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-96,0,417,13,0,375,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-97,1780,469,0,0,14,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
BLKI-MID-AD-2024-98,16299,4051,0,0,199,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,76-102,NA
P01,0,142,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P02,0,2314,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P03,0,119,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P04,0,137,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P05,0,60857,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P06,0,329,0,0,0,0,82033,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P08,0,5610,38,0,4666,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P09,0,4102,0,0,18,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P100,0,133,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P101,47,97,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P102,0,30277,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P103,0,120,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P104,0,9958,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P105,14,20456,106,0,46131,687,0,0,16,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P106,46923,8747,0,1901,8,0,0,48,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P108,0,8951,0,0,54,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P109,4629,2103,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P11,0,7885,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P110,64,626,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P111,0,1096,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P112,0,10168,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P113,0,40066,0,0,248,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P114,0,375,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P115,0,1035,0,0,47,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P117,302,3903,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P118,0,2905,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P119,0,24025,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P12,0,6136,0,0,7159,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P120,2107,16421,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P122,0,1171,0,0,0,22,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P123,1929,3377,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P125,0,210,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P13,0,118350,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P14,0,177,0,0,0,0,409,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P15,0,58107,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P16,0,1237,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P17,0,16425,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P22,0,1340,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P24,0,1940,0,0,16,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P27,0,53963,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P28,0,5634,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P30,0,13503,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P35,0,27414,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P36,0,11606,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P37,0,1036,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P38,0,28846,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P39,0,17893,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P40,0,26989,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P41,13,121961,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P43,3,42528,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P44,4909,20963,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P45,0,1348,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P46,12,70389,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P47,0,18754,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P48,0,20744,0,0,5,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P49,0,33841,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P51,0,10049,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P52,0,85050,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P55,0,9836,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P56,33,52029,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P57,0,23331,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P58,0,88579,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P60,67,22217,0,0,5,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P62,0,15168,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P66,0,721,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P67,0,3137,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P68,0,111,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P69,1159,15605,0,0,0,0,7,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P70,0,4583,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P71,0,3152,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P72,15,96546,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P73,0,9172,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P74,0,120049,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P75,234,12,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P76,0,2444,0,0,0,5,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P77,0,3960,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P78,101,181,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P79,12042,6770,0,0,0,0,0,0,0,230,BLKI,MID,AD,2023,SAMPLE,75,NA
P80,9471,7657,0,0,9,0,0,0,0,156,BLKI,MID,AD,2023,SAMPLE,75,NA
P81,4228,56562,0,0,7,0,0,0,0,45,BLKI,MID,AD,2023,SAMPLE,75,NA
P82,74787,57809,29,0,183,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P83,10,66653,0,0,26,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P84,0,10824,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P85,6043,1389,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P86,222,16,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P87,90,172,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P88,28790,23155,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P89,0,46288,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P90,0,2294,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P91,3,49462,548,0,30493,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P92,0,22729,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,75,NA
P93,0,132,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P94,50561,1295,0,0,20,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P95,0,57337,0,0,110,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P96,0,13463,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P97,3651,891,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P98,14120,226,0,0,0,0,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
P99,20375,5088,0,0,6,89,0,0,0,0,BLKI,MID,AD,2023,SAMPLE,76-102,NA
TUPU-MID-AD-2024-102,7,59,0,497,0,150,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-106,0,124,0,858,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-108,81,345,0,3289,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-109,23,5790,0,2851,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-110,11,72,0,496,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-112,129,172,0,5826,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-119,0,228,0,438,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-123,0,80,0,223,0,4,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-124,530,317,0,31759,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-125,635,14,0,61815,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-126,6,169,0,720,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-127,18,258,0,1508,0,6,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-129,0,602,0,0,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-130,3,3,0,134,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-131,0,30,0,369,0,0,3,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-133,47,337,0,2078,0,6,0,6,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-135,0,58,0,403,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-136,0,188,0,546,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-139,0,1796,0,430,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-140,0,8,0,216,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-141,0,120,0,567,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-142,0,765,0,2288,0,7,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-143,0,7425,0,8340,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-144,0,109,0,255,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-148,0,638,0,3068,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-150,283,274,0,55814,5,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-151,582,4039,0,44877,0,0,0,3,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-152,0,188,0,1272,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-153,0,21,0,115,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-154,2033,8978,0,30820,0,0,5,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-155,0,35,0,126,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-156,2906,5531,0,56029,16,0,3,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-157,1104,1962,0,6885,18,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,99,INC
TUPU-MID-AD-2024-158,6923,11908,0,437,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,INC
TUPU-MID-AD-2024-159,0,2288,0,2637,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,INC
TUPU-MID-AD-2024-160,39148,2984,0,1840,0,3,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,INC
TUPU-MID-AD-2024-161,0,668,0,1478,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,INC
TUPU-MID-AD-2024-162,3377,58218,0,70205,0,5,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,INC
TUPU-MID-AD-2024-166,873,27105,0,83343,8,16850,35,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-167,922,1032,0,0,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-168,23265,6720,0,6180,0,0,0,25,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-169,5181,6140,0,29043,10,299,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-171,15023,2959,0,6838,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-172,83016,2873,0,197,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-173,21176,1094,0,2131,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-176,58194,51064,0,36,49,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-178,12929,9602,0,350,218,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-179,39109,17863,0,23649,59,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-180,26506,6369,0,21946,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-181,9920,39907,0,87344,64,0,13,1524,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-182,33684,1277,0,1766,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-183,64166,183,0,0,15,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-184,75385,4093,0,3760,595,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-185,78685,17939,8,4227,0,0,0,520,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-186,34264,4658,0,558,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-187,92546,12026,0,16114,24,0,0,32,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-189,68189,24185,0,92,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-191,28426,32515,0,78045,30,0,5,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-192,30693,52670,0,497,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-193,97475,12809,0,656,10,4658,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-194,5555,9261,0,0,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-195,414,2179,0,0,7,0,6,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
TUPU-MID-AD-2024-196,0,434,0,595,0,0,0,0,0,0,TUPU,MID,AD,2024,SAMPLE,100,CHR
