"index","dep_id","Copepod","Fish","Eumalacostracan","Jellyfish","Eucarid","Squid","Polychaete","Peracarid","Goose_barnacle","Stenobrachius","Red_Irish_lord","Herring","Capelin","Sand_lance","Gadus","Greenling","Prowfish","Sandfish","Eulachon","Crested_bigscale","Gadid","Lingcod","Daubed_shanny","Searcher","Scaly_paperbone","Lampanyctus","Pacific_salmon","Eelpout","Sablefish","California_headlightfish","Scalyhead_sculpin","Cockscomb","Lobefin_snailfish","Wrymouth","Rockfish","Arrowtooth_flounder","Buffalo_sculpin","Tidepool_snailfish","Sole","Atlantic_salmon"
"BLKI-MID-AD-2024-43","A112_rbwes_14Jun2024",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-44","A115_orsgkg_15Jun2024",0,0,0,0,0,0,0,0,0,0,0,0.994,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-45","A117_yoebs_18Jun2024",0.113,0,0,0,0,0.01,0,0,0,0,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.053,0,0,0,0
"BLKI-MID-AD-2024-47","A107_wkoyos_2Jul2024",0.558,0,0,0,0.001,0,0,0,0,0,0,0.181,0.043,0.003,0.01,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0
"BLKI-MID-AD-2024-48","A114_ryews_15Jun2024",0,0,0,0,0,0,0,0,0,0,0,0.604,0.395,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-5","A104_eseey_10May2024",0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-50","A113_gybos_17Jun2024",0,0,0,0,0,0,0,0,0,0,0.226,0.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-51","A124_owobks_17Jun2024",0,0,0,0,0,0,0.051,0,0,0,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-52","A119_bgbrrs_17Jun2024",0.562,0,0,0,0,0,0,0,0,0,0.015,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.004,0,0
"BLKI-MID-AD-2024-53","A123_esyrb_19Jun2024",0.004,0,0,0,0,0,0,0,0,0,0,0.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-54","A125_gwwrys_18Jun2024",0.001,0,0,0,0.004,0,0,0,0,0,0,0.985,0.001,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-56","A116_gyors_19Jun2024",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-57","A112_bowys_19Jun2024",0,0,0,0,0.033,0,0,0,0,0,0,0.966,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-58","A127_bswow_26Jun2024",0,0,0,0,0,0,0,0,0,0.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-59","A116_eswoo_28Jun2024",0.597,0,0,0,0,0,0,0,0,0,0,0.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
"BLKI-MID-AD-2024-61","A120_wkbbbs_29Jun2024",0.128,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-62","A119_ygbrs_29Jun2024",0.508,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0.285,0,0.053,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-63","A122_wrrrys_1Jul2024",0.637,0,0,0,0,0,0,0,0,0,0,0.341,0,0,0.013,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0
"BLKI-MID-AD-2024-64","A126_wwsgbr_1Jul2024",0.101,0,0,0,0,0,0,0,0,0.067,0,0.012,0,0,0.313,0,0,0,0,0,0.265,0,0,0,0,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-65","A114_bsweb_2Jul2024",0,0,0,0,0,0,0,0,0,0.572,0,0.417,0,0.001,0.003,0.001,0,0,0,0,0.005,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-66","A116_wybrs_2Jul2024",0.198,0,0,0,0.036,0,0,0,0,0,0,0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-67","A113_bkbyws_2Jul2024",0,0,0,0,0,0,0.034,0,0,0,0,0.869,0,0.007,0.013,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-68","A127_ysybg_1Jul2024",0.912,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-69","A118_wbsgko_2Jul2024",0.015,0,0,0,0,0,0,0,0,0,0,0.56,0.423,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-7","A108_wgsryw_8May2024",0,0,0.003,0,0.502,0,0,0,0,0.483,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
"BLKI-MID-AD-2024-70","A123_gwsory_3Jul2024",0.814,0,0,0,0.029,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-71","A120_ywswyr_3Jul2024",0.053,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0.152,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-72","A119_wswew_3Jul2024",0.039,0,0,0,0,0,0,0,0,0,0,0.73,0.019,0,0.024,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-73","A112_errrs_3Jul2024",0,0,0,0,0,0,0,0,0,0,0,0.993,0.003,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-74","A104_bwgwrs_5Jul2024",0.165,0,0,0,0,0,0,0,0,0,0,0.228,0.356,0,0.001,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-75","A115_gkrbrs_5Jul2024",0,0,0,0,0,0,0,0,0,0.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-76","A126_wsrbe_5Jul2024",0.423,0,0,0,0,0,0,0,0,0,0,0.383,0,0,0.001,0,0,0,0,0,0.107,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-77","A121_oswwr_5Jul2024",0.003,0,0,0,0,0,0,0,0,0.001,0,0.012,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.003,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-78","A114_roggbs_8Jul2024",0.448,0,0,0,0.007,0,0,0.037,0,0.001,0,0.433,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-79","A116_orrwgs_8Jul2024",0.458,0,0,0,0,0,0,0,0,0,0,0.265,0,0.207,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-80","A127_bosoog_9Jul2024",0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0.12,0,0,0,0.549,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-81","A118_wsrob_9Jul2024",0,0,0,0,0,0,0,0,0,0.001,0,0.997,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-82","A113_wgybs_9Jul2024",0.961,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-83","A119_wbggs_9Jul2024",0.406,0,0,0,0,0,0,0,0,0,0.002,0.254,0.328,0,0.007,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-84","A120_borrs_9Jul2024",0.258,0,0,0,0.03,0,0,0,0,0.001,0,0.002,0.079,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-85","A122_ykbyws_9Jul2024",0.974,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.022,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-86","A123_bwsgbb_9Jul2024",0,0,0,0,0,0,0,0,0,0,0.007,0.029,0.816,0.001,0.091,0.002,0,0,0,0,0.019,0,0,0,0,0,0.006,0,0,0,0.028,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-87","A124_obsoog_10Jul2024",0.964,0,0,0,0.002,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-88","A116_erbgs_12Jul2024",0.402,0,0,0,0,0,0,0,0,0,0,0.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-89","A112_osrow_12Jul2024",0,0,0,0,0,0,0,0,0,0.999,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-90","A117_yysyky_12Jul2024",0.298,0,0,0,0,0,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-91","A115_erybs_12Jul2024",0.03,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-93","A119_oygoks_13Jul2024",0.417,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.451,0,0,0.008,0,0,0,0,0,0,0.002,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-94","A127_wksrbo_16Jul2024",0.883,0,0,0,0,0,0.002,0.004,0,0,0,0.016,0,0,0.001,0,0,0.085,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-95","A123_gwbys_16Jul2024",0.003,0,0,0,0,0,0,0,0,0.019,0.037,0.078,0.123,0,0.027,0.025,0,0.001,0.659,0,0.005,0,0,0,0,0.017,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-96","A116_brsrkb_24Jul2024",0,0,0.016,0,0.466,0,0,0,0,0,0,0,0.11,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-97","A118_ykygrs_4Aug2024",0.787,0,0,0,0.006,0,0,0,0,0,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLKI-MID-AD-2024-98","A115_bsbrw_4Aug2024",0.793,0,0,0,0.01,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P01","A91_boers_11May2023",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P02","A95_brers_11May2023",0,0,0,0,0,0,0,0,0,0,0,0.012,0.958,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0
"P03","A92_ryews_11May2023",0,0,0,0,0,0,0,0,0,0.002,0.01,0.117,0.847,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0.002,0,0,0,0,0.009,0,0
"P04","A93_wyobs_11May2023",0,0,0,0,0,0,0,0,0,0,0,0.669,0.009,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0.098,0,0
"P05","A89_ygegs_11May2023",0,0,0,0,0,0,0,0,0,0,0,0.997,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P06","A90_yysyky_11May2023",0,0,0,0,0,0,0.996,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P08","A94_bsbwe_11May2023",0,0,0.004,0,0.452,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P09","A84_wgsryw_13May2023",0,0,0,0,0.004,0,0,0,0,0,0,0.007,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P100","A89_yoebs_8July2023",0,0,0,0,0,0,0,0,0,0,0,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0
"P101","A87_esgyb_8July2023",0.326,0,0,0,0,0,0,0,0,0.013,0,0.193,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
"P102","A110_yksywg_8July2023",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P103","A83_wkgwys_10July2023",0,0,0,0,0,0,0,0,0,0,0,0.961,0,0.032,0,0,0,0,0,0,0.002,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
"P104","A108_bgoys_10July2023",0,0,0,0,0,0,0,0,0,0,0,0.447,0.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P105","A91_bwswkw_10July2023",0,0,0.002,0,0.684,0.01,0,0,0,0.288,0,0.011,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
"P106","A111_wkbbbs_11July2023",0.814,0,0,0.033,0,0,0,0,0,0,0,0.004,0.013,0,0.002,0,0.099,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P108","A104_wsrbe_11July2023",0,0,0,0,0.006,0,0,0,0,0.005,0,0.001,0.108,0,0.001,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P109","A99_bsbbr_11July2023",0.688,0,0,0,0,0,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P11","A83_obbes_13May2023",0,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P110","L4_regws_14Jul2023",0.093,0,0,0,0,0,0,0,0,0,0,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P111","L36_owrgs_14Jul2023",0,0,0,0,0,0,0,0,0,0,0,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0
"P112","A98_erbgs_13July2023",0,0,0,0,0,0,0,0,0,0.735,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
"P113","A110_bksrow_13July2023",0,0.994,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P114","A105_bgbrrs_14July2023",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P115","A102_oswwr_14July2023",0,0,0,0,0.043,0,0,0,0,0.006,0,0.886,0.039,0.005,0,0,0.008,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0
"P117","A108_royrs_14July2023",0.072,0,0,0,0,0,0,0,0,0,0,0.857,0.037,0,0.013,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P118","L4_rkygbs_16Jul2023",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P119","A106_oysbko_15July2023",0,0,0,0,0,0,0,0,0,0,0,0.022,0.976,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P12","A88_regws_13May2023",0,0,0,0,0.538,0,0,0,0,0,0,0.461,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P120","A111_boyrs_15July2023",0.114,0,0,0,0,0,0,0,0,0,0,0.367,0.003,0.026,0,0,0,0,0,0,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P122","A98_oewys_17July2023",0,0,0,0,0,0.018,0,0,0,0.027,0,0.305,0.457,0.083,0.007,0.053,0,0,0.001,0,0.023,0,0,0,0,0.009,0.006,0,0,0,0,0,0,0,0,0,0.011,0,0,0
"P123","A99_bbbes_18July2023",0.364,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P125","Z21_grsykr_21Jul2023",0,0,0,0,0,0,0,0,0,0,0,0.955,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P13","A85_bswey_13May2023",0,0,0,0,0,0,0,0,0,0,0,0.86,0.128,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P14","A81_byegs_13May2023",0,0,0,0,0,0,0.698,0,0,0,0.188,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P15","A82_esero_13May2023",0,0,0,0,0,0,0,0,0,0,0,0.007,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16","A79_wswew_13May2023",0,0,0,0,0,0,0,0,0,0.011,0,0.085,0.195,0,0,0,0,0,0.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17","A92_bwoes_18May2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22","A95_yyobs_18May2023",0,0,0,0,0,0,0,0,0,0,0,0.988,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P28","A83_eserr_18May2023",0,0,0,0,0,0,0,0,0,0,0,0.02,0.013,0.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0
"P35","A84_beegs_25May2023",0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P38","A94_wbbws_25May2023",0,0,0,0,0,0,0,0,0,0,0,0.004,0.009,0.171,0,0,0,0,0.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
