"index","Age","Stage","type","Copepod","Fish","Jellyfish","Squid","Ctenophore","Stenobrachius","Red_Irish_lord","Herring","Capelin","Sand_lance","Gadus","Greenling","Prowfish","Sandfish","Gadid","Lampanyctus","Sablefish","Longfin_sculpin","Rockfish","Sculpin","Sharpnose_sculpin","Buffalo_sculpin","Medusafish","Grunt_sculpin","Sailfin_sculpin"
"TUPU-MID-AD-2024-129","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-130","AD","INC","Adult_INC",0.021,0,0.957,0,0,0,0,0.02,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-131","AD","INC","Adult_INC",0,0.075,0.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-133","AD","INC","Adult_INC",0.019,0,0.84,0.002,0.002,0,0,0.006,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-135","AD","INC","Adult_INC",0,0,0.874,0,0,0,0,0,0,0,0,0,0.122,0,0.004,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-136","AD","INC","Adult_INC",0,0,0.744,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-139","AD","INC","Adult_INC",0,0,0.193,0,0,0,0,0.805,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-140","AD","INC","Adult_INC",0,0.036,0.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-141","AD","INC","Adult_INC",0,0,0.825,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-142","AD","INC","Adult_INC",0,0,0.748,0.002,0,0,0,0,0,0,0,0,0.222,0,0.028,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-143","AD","INC","Adult_INC",0,0,0.529,0,0,0,0,0.017,0,0,0.007,0,0.04,0,0.401,0,0,0,0,0,0,0,0,0.006,0
"TUPU-MID-AD-2024-144","AD","INC","Adult_INC",0,0,0.701,0,0,0.043,0,0,0,0,0,0,0.238,0,0.018,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-148","AD","INC","Adult_INC",0,0,0.828,0,0,0,0,0,0,0,0,0,0.157,0,0.015,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-150","AD","INC","Adult_INC",0.005,0,0.99,0,0,0,0,0.001,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-151","AD","INC","Adult_INC",0.012,0,0.907,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-152","AD","INC","Adult_INC",0,0,0.871,0,0,0,0,0,0,0,0,0,0.119,0,0.01,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-153","AD","INC","Adult_INC",0,0,0.846,0,0,0,0,0,0,0,0,0,0.109,0,0.045,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-154","AD","INC","Adult_INC",0.049,0,0.737,0,0,0,0,0.011,0,0,0.04,0,0.028,0,0.136,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-155","AD","INC","Adult_INC",0,0.217,0.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-156","AD","INC","Adult_INC",0.045,0,0.869,0,0,0,0,0.001,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-157","AD","INC","Adult_INC",0.111,0,0.691,0,0,0,0,0,0,0,0.055,0,0.109,0,0.033,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-158","AD","INC","Adult_INC",0.359,0,0.023,0,0,0,0,0.006,0,0,0.048,0,0.068,0,0.486,0,0,0,0,0,0.012,0,0,0,0
"TUPU-MID-AD-2024-159","AD","INC","Adult_INC",0,0,0.535,0,0,0,0,0,0,0,0.081,0,0.085,0,0.299,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-160","AD","INC","Adult_INC",0.89,0,0.042,0,0,0,0,0,0,0,0,0,0.021,0,0.047,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-161","AD","INC","Adult_INC",0,0,0.689,0,0,0,0,0,0,0.007,0.013,0,0.107,0,0.184,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-162","AD","INC","Adult_INC",0.026,0.442,0.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-166","AD","CHR","Adult_CHR",0.007,0,0.65,0.131,0,0,0,0.058,0,0,0.125,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-167","AD","CHR","Adult_CHR",0.472,0,0,0,0,0,0,0,0.092,0,0.2,0,0,0,0.237,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-168","AD","CHR","Adult_CHR",0.643,0,0.171,0,0.001,0,0,0,0,0,0.015,0,0.155,0,0.016,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-169","AD","CHR","Adult_CHR",0.127,0,0.714,0.007,0,0,0,0.011,0,0,0.056,0,0.01,0,0.074,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-171","AD","CHR","Adult_CHR",0.605,0,0.276,0,0,0,0,0.001,0,0,0.001,0,0.091,0,0.026,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-172","AD","CHR","Adult_CHR",0.964,0,0.002,0,0,0,0,0,0,0,0.004,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-173","AD","CHR","Adult_CHR",0.868,0.045,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-176","AD","CHR","Adult_CHR",0.532,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0.152,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-178","AD","CHR","Adult_CHR",0.56,0,0.015,0,0,0,0,0.017,0,0,0.142,0,0.052,0,0.206,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-179","AD","CHR","Adult_CHR",0.485,0,0.293,0,0,0,0,0.136,0,0,0.055,0,0.008,0,0.021,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-180","AD","CHR","Adult_CHR",0.484,0,0.4,0,0,0,0,0.004,0,0,0.024,0,0.056,0,0.03,0,0,0,0,0.001,0,0,0,0,0
"TUPU-MID-AD-2024-181","AD","CHR","Adult_CHR",0.071,0,0.629,0,0.011,0,0,0.028,0,0,0.023,0,0.223,0,0.013,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-182","AD","CHR","Adult_CHR",0.917,0,0.048,0,0,0,0,0.004,0,0,0.024,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-183","AD","CHR","Adult_CHR",0.997,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-184","AD","CHR","Adult_CHR",0.899,0,0.045,0,0,0,0,0,0,0,0.005,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-185","AD","CHR","Adult_CHR",0.776,0,0.042,0,0.005,0,0,0.117,0,0,0.011,0,0.033,0,0.016,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-186","AD","CHR","Adult_CHR",0.868,0,0.014,0,0,0,0,0.001,0.001,0,0.019,0,0,0,0.097,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-187","AD","CHR","Adult_CHR",0.766,0,0.133,0,0,0,0,0.021,0,0,0.01,0,0.046,0,0.023,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-189","AD","CHR","Adult_CHR",0.737,0,0.001,0,0,0,0,0.001,0,0,0.245,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-191","AD","CHR","Adult_CHR",0.204,0,0.561,0,0,0,0,0.01,0,0,0.143,0,0.055,0,0.026,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-192","AD","CHR","Adult_CHR",0.366,0,0.006,0,0,0,0,0,0,0,0.101,0,0.513,0,0.013,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-193","AD","CHR","Adult_CHR",0.843,0,0.006,0.04,0,0,0,0.034,0,0.009,0.061,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-194","AD","CHR","Adult_CHR",0.375,0,0,0,0,0,0,0.024,0,0,0,0,0,0.601,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-195","AD","CHR","Adult_CHR",0.159,0,0,0,0,0,0,0.011,0,0,0.001,0.822,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-196","AD","CHR","Adult_CHR",0,0,0.578,0,0,0,0,0.235,0,0,0.052,0,0.053,0,0.081,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-197","AD","CHR","Adult_CHR",0.147,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0
"TUPU-MID-AD-2024-198","AD","CHR","Adult_CHR",0.035,0,0.299,0,0,0,0,0.28,0.384,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
"TUPU-MID-AD-2024-199","AD","CHR","Adult_CHR",0.38,0,0.423,0,0,0,0,0,0,0,0.134,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-200","AD","CHR","Adult_CHR",0.973,0,0.004,0,0,0,0,0.02,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-201","AD","CHR","Adult_CHR",0.084,0,0.724,0,0,0,0,0,0,0,0.086,0,0.044,0,0.06,0,0,0,0,0,0.001,0,0,0,0
"TUPU-MID-AD-2024-202","AD","CHR","Adult_CHR",0.252,0,0.522,0,0,0,0,0,0.001,0,0.057,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-203","AD","CHR","Adult_CHR",0.01,0,0.317,0,0,0,0,0,0,0,0.053,0,0.547,0,0.073,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-204","AD","CHR","Adult_CHR",0,0,0.418,0.004,0,0,0,0,0,0,0,0,0.074,0,0.505,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-210","AD","CHR","Adult_CHR",0.795,0,0.011,0,0,0,0,0,0,0,0.118,0,0.024,0,0.051,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-212","AD","CHR","Adult_CHR",0.786,0,0.031,0,0,0,0,0.048,0,0,0.048,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-217","AD","CHR","Adult_CHR",0.507,0,0.004,0.003,0,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-218","AD","CHR","Adult_CHR",0.025,0,0.634,0.005,0,0,0,0.279,0.001,0,0.032,0,0,0,0.019,0,0,0,0,0.004,0,0,0,0,0
"TUPU-MID-AD-2024-219","AD","CHR","Adult_CHR",0.447,0,0.501,0,0,0,0,0.007,0,0,0.025,0,0.008,0,0.012,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-220","AD","CHR","Adult_CHR",0.954,0,0.011,0,0,0,0,0.025,0,0,0,0,0.001,0,0.01,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-221","AD","CHR","Adult_CHR",0.824,0,0,0,0,0,0,0,0,0,0.17,0,0.002,0,0.004,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-222","AD","CHR","Adult_CHR",0,0,0.859,0,0,0,0,0.002,0,0,0.036,0,0.089,0,0.014,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-223","AD","CHR","Adult_CHR",0.73,0,0.233,0,0,0,0,0.02,0,0,0.014,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-224","AD","CHR","Adult_CHR",0,0,0.896,0,0,0,0,0.039,0,0,0.03,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-225","AD","CHR","Adult_CHR",0.035,0,0.948,0.009,0,0,0,0,0,0,0.007,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-226","AD","CHR","Adult_CHR",0.726,0,0.079,0,0,0,0,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-228","AD","CHR","Adult_CHR",0.588,0,0.088,0.167,0,0,0,0.004,0.006,0,0.145,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-230","AD","CHR","Adult_CHR",0.774,0,0,0,0,0,0,0.199,0,0,0.006,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-231","AD","CHR","Adult_CHR",0.961,0,0.001,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-232","AD","CHR","Adult_CHR",0.581,0,0,0,0,0,0,0.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-233","AD","CHR","Adult_CHR",0.966,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-234","AD","CHR","Adult_CHR",0.981,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-235","AD","CHR","Adult_CHR",0.029,0,0.815,0,0.002,0.002,0,0.009,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-237","AD","CHR","Adult_CHR",0.133,0,0.787,0,0,0,0,0,0,0,0.066,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-238","AD","CHR","Adult_CHR",0.022,0,0.781,0,0.002,0,0,0.004,0,0,0,0,0.191,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-239","AD","CHR","Adult_CHR",0.622,0,0.225,0.004,0,0,0,0.097,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-240","AD","CHR","Adult_CHR",0.69,0,0.09,0.004,0,0,0,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-242","AD","CHR","Adult_CHR",0.278,0,0.002,0.006,0.001,0,0,0.038,0,0,0.5,0,0.132,0,0.043,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-245","AD","CHR","Adult_CHR",0.928,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-247","AD","CHR","Adult_CHR",0.77,0,0,0,0,0,0,0.207,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0
"TUPU-MID-AD-2024-248","AD","CHR","Adult_CHR",0,0,0.107,0,0,0,0,0,0,0,0.839,0,0.034,0,0,0,0,0,0,0,0,0.02,0,0,0
"TUPU-MID-AD-2024-250","AD","CHR","Adult_CHR",0.928,0,0.009,0,0,0,0,0.013,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-251","AD","CHR","Adult_CHR",0.968,0,0.002,0,0,0,0,0,0,0,0.027,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-252","AD","CHR","Adult_CHR",0.956,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-254","AD","CHR","Adult_CHR",0.859,0,0,0,0,0,0,0.118,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-255","AD","CHR","Adult_CHR",0.963,0,0,0,0,0,0,0,0,0,0.035,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-256","AD","CHR","Adult_CHR",0.643,0,0.001,0,0,0,0,0.302,0,0,0.014,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-257","AD","CHR","Adult_CHR",0.958,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-258","AD","CHR","Adult_CHR",0,0,0.817,0,0,0,0,0.103,0,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-259","AD","CHR","Adult_CHR",0.727,0,0.053,0,0,0,0,0.218,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-261","AD","CHR","Adult_CHR",0.124,0,0.001,0,0,0,0,0,0,0,0.875,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-262","AD","CHR","Adult_CHR",0.42,0,0,0,0,0,0,0,0,0,0.086,0.493,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-263","AD","CHR","Adult_CHR",0.792,0,0,0,0,0,0,0.003,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-264","AD","CHR","Adult_CHR",0.886,0,0,0,0,0,0,0.063,0,0,0.049,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-266","AD","CHR","Adult_CHR",0.067,0,0.344,0,0,0,0,0,0,0,0.588,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-267","AD","CHR","Adult_CHR",0.509,0,0.019,0,0,0,0,0.396,0,0,0.018,0,0,0,0.058,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-268","AD","CHR","Adult_CHR",0.987,0,0,0,0,0,0,0.008,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-269","AD","CHR","Adult_CHR",0.726,0,0,0,0,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-270","AD","CHR","Adult_CHR",0.266,0,0.366,0,0,0,0,0,0,0,0.338,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-271","AD","CHR","Adult_CHR",0.793,0,0,0,0,0,0,0.205,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-272","AD","CHR","Adult_CHR",0.983,0,0.006,0,0,0,0,0,0,0,0.007,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-273","AD","CHR","Adult_CHR",0.925,0,0.014,0,0,0,0,0.026,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-275","AD","CHR","Adult_CHR",0.921,0,0,0,0,0,0,0.013,0,0.005,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-281","AD","CHR","Adult_CHR",0.6,0,0.282,0,0,0,0,0,0,0,0.112,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-285","AD","CHR","Adult_CHR",0.72,0,0.081,0,0,0,0,0,0,0,0.149,0,0.028,0,0.018,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-286","AD","CHR","Adult_CHR",0.327,0,0.003,0,0,0,0,0.182,0,0,0.025,0,0,0,0.458,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-287","AD","CHR","Adult_CHR",0.514,0,0,0,0,0,0,0.04,0.03,0.026,0.334,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-289","AD","CHR","Adult_CHR",0.723,0,0,0,0,0,0,0,0,0,0.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-165","CH","CHR","Chick",0.178,0,0.002,0,0,0,0,0.084,0,0,0.286,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-174","CH","CHR","Chick",0.78,0,0.002,0,0,0,0,0,0,0,0.214,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-175","CH","CHR","Chick",0.859,0,0.046,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-205","CH","CHR","Chick",0.178,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.818,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-206","CH","CHR","Chick",0.448,0,0.009,0,0,0,0,0.173,0.031,0,0.128,0.002,0,0,0.207,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-207","CH","CHR","Chick",0.637,0,0.002,0,0,0,0,0,0.109,0,0.144,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-208","CH","CHR","Chick",0,0,0.002,0,0,0,0,0.016,0.971,0,0,0,0,0.009,0,0,0,0,0,0.002,0,0,0,0,0
"TUPU-MID-CH-2024-209","CH","CHR","Chick",0.567,0,0,0,0,0,0,0.417,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-213","CH","CHR","Chick",0.438,0,0.002,0,0,0,0,0.001,0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-214","CH","CHR","Chick",0.098,0,0.017,0.011,0,0,0,0,0,0,0.848,0,0.002,0,0.021,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-241","CH","CHR","Chick",0.158,0,0.02,0,0,0,0,0,0.001,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-243","CH","CHR","Chick",0,0,0.001,0,0,0,0,0.004,0,0,0.976,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-244","CH","CHR","Chick",0.08,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-249","CH","CHR","Chick",0.586,0,0.003,0,0,0,0,0,0,0,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-253","CH","CHR","Chick",0.803,0,0.003,0,0,0,0,0.02,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-260","CH","CHR","Chick",0.902,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-265","CH","CHR","Chick",0.219,0,0.002,0,0,0,0,0.703,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-274","CH","CHR","Chick",0.127,0,0,0,0,0,0,0,0.26,0,0.082,0,0,0,0.531,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-276","CH","CHR","Chick",0.222,0,0.002,0,0,0,0,0.262,0,0,0.509,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-278","CH","CHR","Chick",0.001,0,0.015,0,0,0,0,0.254,0.172,0,0.554,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-280","CH","CHR","Chick",0.904,0,0.005,0,0,0,0,0.032,0.013,0,0.036,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-291","CH","CHR","Chick",0.138,0,0,0,0,0,0,0,0,0,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-292","CH","CHR","Chick",0.928,0,0,0,0,0,0,0.001,0.003,0.001,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-293","CH","CHR","Chick",0.86,0,0.001,0,0,0.001,0,0.03,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-294","CH","CHR","Chick",0.16,0,0,0,0,0,0,0,0.055,0.001,0.734,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-295","CH","CHR","Chick",0.07,0,0.058,0,0,0.029,0,0.069,0,0,0.753,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0
