"index","Age","Stage","type","Stenobrachius","Red_Irish_lord","Herring","Capelin","Sand_lance","Gadus","Greenling","Prowfish","Sandfish","Gadid","Lampanyctus","Sablefish","Longfin_sculpin","Rockfish","Sculpin","Sharpnose_sculpin","Buffalo_sculpin","Medusafish","Grunt_sculpin","Sailfin_sculpin"
"TUPU-MID-AD-2024-129","AD","INC","Adult_INC",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-130","AD","INC","Adult_INC",0,0,0.97,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-132","AD","INC","Adult_INC",0,0,0.074,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0,0.262,0,0
"TUPU-MID-AD-2024-133","AD","INC","Adult_INC",0,0,0.041,0,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-134","AD","INC","Adult_INC",0,0,0,0,0,0,0,0.968,0,0.005,0,0,0,0,0,0,0,0.027,0,0
"TUPU-MID-AD-2024-135","AD","INC","Adult_INC",0,0,0,0,0,0,0,0.967,0,0.033,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-136","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-137","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-139","AD","INC","Adult_INC",0,0,0.997,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-141","AD","INC","Adult_INC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-142","AD","INC","Adult_INC",0,0,0,0,0,0,0,0.888,0,0.112,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-143","AD","INC","Adult_INC",0,0,0.037,0,0,0.014,0,0.085,0,0.851,0,0,0,0,0,0,0,0,0.013,0
"TUPU-MID-AD-2024-144","AD","INC","Adult_INC",0.144,0,0,0,0,0,0,0.797,0,0.06,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-146","AD","INC","Adult_INC",0,0,0.471,0,0,0,0,0.529,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-147","AD","INC","Adult_INC",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-148","AD","INC","Adult_INC",0,0,0,0,0,0,0,0.91,0,0.09,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-150","AD","INC","Adult_INC",0,0,0.132,0,0,0.003,0,0.836,0,0.027,0,0,0,0.002,0,0,0,0,0,0
"TUPU-MID-AD-2024-151","AD","INC","Adult_INC",0,0,0.002,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-152","AD","INC","Adult_INC",0,0,0,0,0,0,0,0.923,0,0.077,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-153","AD","INC","Adult_INC",0,0,0,0,0,0,0,0.709,0,0.291,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-154","AD","INC","Adult_INC",0,0,0.053,0,0,0.185,0,0.128,0,0.634,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-156","AD","INC","Adult_INC",0,0,0.009,0,0,0,0,0.989,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-157","AD","INC","Adult_INC",0,0,0.001,0,0,0.281,0,0.553,0,0.166,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-158","AD","INC","Adult_INC",0,0,0.009,0,0,0.077,0,0.11,0,0.786,0,0,0,0,0,0.019,0,0,0,0
"TUPU-MID-AD-2024-159","AD","INC","Adult_INC",0,0,0,0,0,0.174,0,0.182,0,0.643,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-160","AD","INC","Adult_INC",0,0,0,0,0,0,0,0.31,0,0.69,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-161","AD","INC","Adult_INC",0,0,0,0,0.023,0.041,0,0.344,0,0.591,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-163","AD","INC","Adult_INC",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-166","AD","CHR","Adult_CHR",0,0,0.275,0,0,0.592,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-167","AD","CHR","Adult_CHR",0,0,0,0.174,0,0.378,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-168","AD","CHR","Adult_CHR",0,0,0,0,0,0.078,0,0.835,0,0.087,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-169","AD","CHR","Adult_CHR",0,0,0.07,0,0,0.371,0,0.065,0,0.493,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-171","AD","CHR","Adult_CHR",0,0,0.007,0,0,0.011,0,0.764,0,0.215,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-172","AD","CHR","Adult_CHR",0,0,0.007,0,0,0.132,0,0,0,0.848,0.012,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-176","AD","CHR","Adult_CHR",0,0,0,0,0,0.674,0,0,0.001,0.325,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-178","AD","CHR","Adult_CHR",0,0,0.041,0,0,0.341,0,0.124,0,0.494,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-179","AD","CHR","Adult_CHR",0,0,0.616,0.001,0,0.251,0,0.034,0,0.094,0,0,0,0.001,0.002,0.002,0,0,0,0
"TUPU-MID-AD-2024-180","AD","CHR","Adult_CHR",0.002,0,0.036,0.001,0,0.206,0,0.482,0,0.262,0,0,0,0,0.009,0,0,0,0,0
"TUPU-MID-AD-2024-181","AD","CHR","Adult_CHR",0,0,0.096,0,0,0.08,0,0.776,0,0.044,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-182","AD","CHR","Adult_CHR",0,0,0.114,0,0,0.699,0,0.01,0,0.174,0,0,0,0,0.001,0,0,0,0,0
"TUPU-MID-AD-2024-183","AD","CHR","Adult_CHR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-184","AD","CHR","Adult_CHR",0,0,0,0.001,0,0.099,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-185","AD","CHR","Adult_CHR",0,0,0.66,0,0,0.063,0,0.188,0,0.09,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-186","AD","CHR","Adult_CHR",0,0,0.008,0.01,0,0.159,0,0,0,0.822,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-187","AD","CHR","Adult_CHR",0,0,0.207,0,0,0.099,0,0.46,0,0.234,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-189","AD","CHR","Adult_CHR",0,0,0.004,0,0,0.935,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-190","AD","CHR","Adult_CHR",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-191","AD","CHR","Adult_CHR",0,0,0.042,0,0,0.612,0,0.234,0,0.113,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-192","AD","CHR","Adult_CHR",0,0,0,0,0,0.161,0,0.817,0,0.021,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-193","AD","CHR","Adult_CHR",0,0,0.309,0,0.085,0.551,0,0.004,0,0.05,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-194","AD","CHR","Adult_CHR",0,0,0.039,0,0,0,0,0,0.961,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-195","AD","CHR","Adult_CHR",0,0,0.013,0,0,0.001,0.983,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-196","AD","CHR","Adult_CHR",0,0,0.558,0,0,0.123,0,0.126,0,0.193,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-197","AD","CHR","Adult_CHR",0,0,0,0.996,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
"TUPU-MID-AD-2024-198","AD","CHR","Adult_CHR",0,0,0.421,0.577,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
"TUPU-MID-AD-2024-199","AD","CHR","Adult_CHR",0,0,0.002,0,0,0.681,0,0.317,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-200","AD","CHR","Adult_CHR",0,0,0.912,0,0,0.069,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-201","AD","CHR","Adult_CHR",0.001,0,0.002,0,0,0.45,0,0.229,0,0.313,0,0,0,0,0,0.003,0,0,0,0
"TUPU-MID-AD-2024-202","AD","CHR","Adult_CHR",0,0,0,0.003,0,0.253,0,0,0,0.744,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-203","AD","CHR","Adult_CHR",0,0,0,0,0,0.079,0,0.812,0,0.108,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-204","AD","CHR","Adult_CHR",0,0,0,0,0,0,0,0.128,0,0.872,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-210","AD","CHR","Adult_CHR",0,0,0,0,0,0.609,0,0.125,0,0.266,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-212","AD","CHR","Adult_CHR",0,0,0.261,0,0,0.262,0,0.001,0,0.477,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-215","AD","CHR","Adult_CHR",0,0,0.468,0.002,0,0.216,0,0,0,0.309,0,0,0.004,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-217","AD","CHR","Adult_CHR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-218","AD","CHR","Adult_CHR",0,0,0.833,0.003,0,0.096,0,0,0,0.056,0,0,0,0,0.012,0,0,0,0,0
"TUPU-MID-AD-2024-219","AD","CHR","Adult_CHR",0,0,0.137,0.001,0,0.483,0,0.145,0,0.231,0,0,0,0,0.002,0,0,0,0,0
"TUPU-MID-AD-2024-220","AD","CHR","Adult_CHR",0.001,0,0.702,0,0,0,0,0.018,0,0.278,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-221","AD","CHR","Adult_CHR",0,0,0,0,0,0.967,0,0.01,0,0.022,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-222","AD","CHR","Adult_CHR",0,0,0.011,0,0,0.254,0,0.634,0,0.1,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-223","AD","CHR","Adult_CHR",0,0,0.533,0,0,0.39,0,0,0,0.074,0,0,0,0.001,0.001,0,0,0,0,0
"TUPU-MID-AD-2024-224","AD","CHR","Adult_CHR",0,0,0.373,0,0,0.289,0,0,0,0.339,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-225","AD","CHR","Adult_CHR",0,0,0.007,0,0,0.876,0,0.02,0,0.095,0,0,0,0.001,0,0,0,0,0,0
"TUPU-MID-AD-2024-226","AD","CHR","Adult_CHR",0,0,0.998,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-227","AD","CHR","Adult_CHR",0,0,0.989,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-228","AD","CHR","Adult_CHR",0,0,0.027,0.041,0,0.921,0,0.005,0,0.007,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-229","AD","CHR","Adult_CHR",0,0,0,0,0,0,0,0.015,0,0.985,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-230","AD","CHR","Adult_CHR",0,0,0.903,0,0,0.026,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-231","AD","CHR","Adult_CHR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-232","AD","CHR","Adult_CHR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-233","AD","CHR","Adult_CHR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-234","AD","CHR","Adult_CHR",0,0,0,0,0,0.987,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-235","AD","CHR","Adult_CHR",0.014,0,0.056,0,0,0.002,0,0.927,0,0,0,0,0,0.001,0,0,0,0,0,0
"TUPU-MID-AD-2024-237","AD","CHR","Adult_CHR",0,0,0.002,0,0,0.818,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-238","AD","CHR","Adult_CHR",0.002,0,0.019,0,0,0.002,0,0.977,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-239","AD","CHR","Adult_CHR",0,0,0.648,0,0,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-240","AD","CHR","Adult_CHR",0,0,0.999,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-242","AD","CHR","Adult_CHR",0,0,0.053,0,0,0.701,0,0.185,0,0.061,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-245","AD","CHR","Adult_CHR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-246","AD","CHR","Adult_CHR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-247","AD","CHR","Adult_CHR",0,0,0.9,0,0,0.001,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0
"TUPU-MID-AD-2024-248","AD","CHR","Adult_CHR",0,0,0,0,0,0.94,0,0.038,0,0,0,0,0,0,0,0,0.022,0,0,0
"TUPU-MID-AD-2024-250","AD","CHR","Adult_CHR",0,0,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-251","AD","CHR","Adult_CHR",0,0,0.004,0.009,0,0.915,0,0.002,0,0.07,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-252","AD","CHR","Adult_CHR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-254","AD","CHR","Adult_CHR",0,0,0.836,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-255","AD","CHR","Adult_CHR",0,0,0,0,0,0.95,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-256","AD","CHR","Adult_CHR",0,0,0.848,0,0,0.04,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-257","AD","CHR","Adult_CHR",0,0,0,0,0,0.936,0,0.008,0,0.057,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-258","AD","CHR","Adult_CHR",0,0,0.561,0,0,0.275,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-259","AD","CHR","Adult_CHR",0,0,0.993,0,0,0.005,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-261","AD","CHR","Adult_CHR",0,0,0,0,0,0.999,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-262","AD","CHR","Adult_CHR",0,0,0,0,0,0.148,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-263","AD","CHR","Adult_CHR",0,0,0.013,0,0,0.985,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-264","AD","CHR","Adult_CHR",0,0,0.552,0,0,0.43,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-266","AD","CHR","Adult_CHR",0,0,0,0,0,0.998,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-267","AD","CHR","Adult_CHR",0,0,0.839,0,0,0.039,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-268","AD","CHR","Adult_CHR",0,0,0.644,0,0,0.352,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-269","AD","CHR","Adult_CHR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-270","AD","CHR","Adult_CHR",0,0,0,0,0,0.922,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-271","AD","CHR","Adult_CHR",0,0,0.99,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-272","AD","CHR","Adult_CHR",0,0,0.002,0,0,0.656,0,0.17,0,0.172,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-273","AD","CHR","Adult_CHR",0,0,0.452,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-275","AD","CHR","Adult_CHR",0,0,0.16,0,0.061,0.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-281","AD","CHR","Adult_CHR",0,0,0,0,0,0.945,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-282","AD","CHR","Adult_CHR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-284","AD","CHR","Adult_CHR",0,0,0.978,0,0,0.021,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-285","AD","CHR","Adult_CHR",0,0,0,0,0,0.765,0,0.144,0,0.09,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-286","AD","CHR","Adult_CHR",0,0,0.274,0,0,0.038,0,0,0,0.688,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-287","AD","CHR","Adult_CHR",0,0,0.083,0.061,0.054,0.687,0,0,0,0.115,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-AD-2024-289","AD","CHR","Adult_CHR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-165","CH","CHR","Chick",0,0,0.103,0,0,0.35,0,0,0,0.547,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-174","CH","CHR","Chick",0,0,0,0,0,0.987,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-175","CH","CHR","Chick",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-205","CH","CHR","Chick",0,0,0,0,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-206","CH","CHR","Chick",0,0,0.32,0.057,0,0.237,0.003,0,0,0.382,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-207","CH","CHR","Chick",0,0,0.001,0.303,0,0.4,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-208","CH","CHR","Chick",0,0,0.016,0.973,0,0,0,0,0.009,0,0,0,0,0,0.002,0,0,0,0,0
"TUPU-MID-CH-2024-209","CH","CHR","Chick",0,0,0.962,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-211","CH","CHR","Chick",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-213","CH","CHR","Chick",0,0,0.001,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-214","CH","CHR","Chick",0,0,0,0,0,0.973,0,0.002,0,0.024,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-241","CH","CHR","Chick",0,0,0,0.001,0,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-243","CH","CHR","Chick",0,0,0.004,0,0,0.977,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-244","CH","CHR","Chick",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-249","CH","CHR","Chick",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-253","CH","CHR","Chick",0,0,0.101,0,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-260","CH","CHR","Chick",0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-265","CH","CHR","Chick",0,0,0.903,0,0,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-274","CH","CHR","Chick",0,0,0,0.298,0,0.094,0,0,0,0.608,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-276","CH","CHR","Chick",0,0,0.337,0,0,0.656,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-277","CH","CHR","Chick",0,0,0.018,0.128,0,0.807,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-278","CH","CHR","Chick",0,0,0.258,0.175,0,0.564,0.001,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-280","CH","CHR","Chick",0,0,0.343,0.142,0,0.389,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-291","CH","CHR","Chick",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-292","CH","CHR","Chick",0,0,0.007,0.035,0.012,0.944,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-293","CH","CHR","Chick",0.006,0,0.216,0,0,0.777,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-294","CH","CHR","Chick",0,0,0,0.065,0.001,0.874,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0
"TUPU-MID-CH-2024-295","CH","CHR","Chick",0.033,0,0.079,0,0,0.864,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0
