"index","dep_id","Copepod","Fish","Eumalacostracan","Jellyfish","Eucarid","Squid","Polychaete","Peracarid","Goose_barnacle"
"P79","A108_bswow_25June2023",0.632,0.356,0,0,0,0,0,0,0.012
"P80","A105_roors_25June2023",0.548,0.443,0,0,0.001,0,0,0,0.009
"P81","A111_wgsoky_24June2023",0.069,0.93,0,0,0,0,0,0,0.001
"P82","A109_ebyrs_1July2023",0.563,0.435,0,0,0.001,0,0,0,0
"P83","A108_ebors_1July2023",0,0.999,0,0,0,0,0,0,0
"P84","A99_bkbyws_3July2023",0,1,0,0,0,0,0,0,0
"P85","A104_esewo_3July2023",0.813,0.187,0,0,0,0,0,0,0
"P86","A105_bsrww_3July2023",0.933,0.067,0,0,0,0,0,0,0
"P87","A101_bwgwrs_3July2023",0.344,0.656,0,0,0,0,0,0,0
"P88","A110_rsoyw_4July2023",0.554,0.446,0,0,0,0,0,0,0
"P89","A102_rkwgos_4July2023",0,1,0,0,0,0,0,0,0
"P90","A107_wygys_4July2023",0,1,0,0,0,0,0,0,0
"P91","A108_esrrg_6July2023",0,0.614,0.007,0,0.379,0,0,0,0
"P92","A106_gswee_7July2023",0,1,0,0,0,0,0,0,0
"P93","A103_beows_7July2023",0,1,0,0,0,0,0,0,0
"P94","A98_rybrks_7July2023",0.975,0.025,0,0,0,0,0,0,0
"P95","A111_eseyr_7July2023",0,0.998,0,0,0.002,0,0,0,0
"P96","A101_oygoks_7July2023",0,1,0,0,0,0,0,0,0
"P97","A105_ywswyr_7July2023",0.804,0.196,0,0,0,0,0,0,0
"P98","A107_oerrs_8July2023",0.984,0.016,0,0,0,0,0,0,0
"P99","A102_gorrs_8July2023",0.797,0.199,0,0,0,0.003,0,0,0
